timestamp,open,high,low,close,volume
2025-10-03 11:20:00+00:00,120140.9,120318.7,120140.9,120296.3,13276.32
2025-10-03 11:25:00+00:00,120296.3,120342.3,120238.1,120248.1,10211.15
2025-10-03 11:30:00+00:00,120248.1,120275.4,120171.6,120174.8,7392.5
2025-10-03 11:35:00+00:00,120174.8,120280.0,120155.7,120253.9,8157.77
2025-10-03 11:40:00+00:00,120253.8,120326.8,120253.8,120326.7,5972.72
2025-10-03 11:45:00+00:00,120326.7,120326.7,120296.5,120322.9,5540.2
2025-10-03 11:50:00+00:00,120323.0,120449.0,120304.2,120366.2,11062.18
2025-10-03 11:55:00+00:00,120366.2,120366.2,120300.7,120307.9,10327.65
2025-10-03 12:00:00+00:00,120308.0,120380.6,120308.0,120315.4,8970.66
2025-10-03 12:05:00+00:00,120315.4,120351.4,120226.1,120236.0,10544.81
2025-10-03 12:10:00+00:00,120236.1,120355.7,120236.1,120335.8,6704.2
2025-10-03 12:15:00+00:00,120335.9,120375.0,120247.1,120247.1,8668.18
2025-10-03 12:20:00+00:00,120247.1,120279.7,120216.4,120279.6,4528.94
2025-10-03 12:25:00+00:00,120279.6,120296.7,120179.7,120179.7,9776.75
2025-10-03 12:30:00+00:00,120179.7,120298.6,120076.1,120076.1,34835.62
2025-10-03 12:35:00+00:00,120076.2,120213.1,120065.0,120213.1,12782.18
2025-10-03 12:40:00+00:00,120213.1,120250.0,120186.6,120250.0,11879.21
2025-10-03 12:45:00+00:00,120250.0,120326.8,120193.4,120227.5,10586.5
2025-10-03 12:50:00+00:00,120227.5,120335.5,120202.6,120326.8,6737.37
2025-10-03 12:55:00+00:00,120326.8,120360.3,120303.8,120318.4,9711.09
2025-10-03 13:00:00+00:00,120318.4,120318.4,120160.0,120169.0,10035.45
2025-10-03 13:05:00+00:00,120169.1,120224.9,120100.0,120199.9,14039.68
2025-10-03 13:10:00+00:00,120199.9,120262.8,120199.9,120222.5,5816.25
2025-10-03 13:15:00+00:00,120222.6,120346.4,120178.5,120297.5,9628.24
2025-10-03 13:20:00+00:00,120297.5,120428.6,120297.4,120397.7,12985.02
2025-10-03 13:25:00+00:00,120397.8,120557.9,120397.8,120495.9,29495.56
2025-10-03 13:30:00+00:00,120496.0,120670.0,120310.0,120422.0,57363.91
2025-10-03 13:35:00+00:00,120422.0,120435.2,120161.1,120399.9,40624.77
2025-10-03 13:40:00+00:00,120399.9,120412.5,120058.2,120231.0,47377.38
2025-10-03 13:45:00+00:00,120230.5,120457.4,120203.3,120422.2,22821.43
2025-10-03 13:50:00+00:00,120422.3,120513.8,120326.8,120357.8,25050.65
